Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Episode Title,Anchor,Industry,Business Description,Company Website,Started in,Number of Presenters,Male Presenters,Female Presenters,Transgender Presenters,Couple Presenters,Pitchers Average Age,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,EBITDA,Cash Burn,SKUs,Has Patents,Bootstrapped,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of Sharks in Deal,Deal Has Conditions,Royalty Deal,Advisory Shares Equity,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Ashneer Investment Amount,Ashneer Investment Equity,Ashneer Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Invested Guest Name,All Guest Names,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Amit Present,Ashneer Present,Guest Present
2,FatToSlim,20,212,02-Jan-23,10-Mar-23,27-Jan-23,Nurturing Indian Entrepreneurs,Rahul Dua,Beauty/Fashion,Diet Plan Weight Loss,http://fattoslimbangalore.com/,,1,,1,,0,Middle,Bangalore,Karnataka,,14,,,,,,,,20,1,2000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,CheeseCake&Co.,21,213,02-Jan-23,10-Mar-23,30-Jan-23,Adhbhut Aur Anokhe Entrepreneurs,Rahul Dua,Food,Cakes Slices,https://cheesecakeco.in/,2018,2,1,1,,1,Middle,Delhi,Delhi,,194,,,,,,,,100,2,5000,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,Dabble,21,214,02-Jan-23,10-Mar-23,30-Jan-23,Adhbhut Aur Anokhe Entrepreneurs,Rahul Dua,Manufacturing,Paints Crayons Brushes,https://dabbleplayart.com/,,2,,2,,0,Middle,Bangalore,Karnataka,33,8.7,75,,,,,,,50,10,500,1,1,15,10,35,0,150,1,,,,,,,,,,,,,15,10,35,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,BeUnic,21,216,02-Jan-23,10-Mar-23,30-Jan-23,Adhbhut Aur Anokhe Entrepreneurs,Rahul Dua,Services,Platform for LGBTQ+ creators and entrepreneurs,https://beunic.in/,,3,1,1,1,0,Middle,Noida,Uttar Pradesh,50,6,,,,,,,,100,10,1000,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,Broomees,22,217,02-Jan-23,10-Mar-23,31-Jan-23,Making Big Businesses,Rahul Dua,Services,Helpers homemakers for your home,https://broomees.com/,,3,2,1,,0,Middle,Delhi,Delhi,,,,,,,,,,80,2,4000,1,1,100,3,,,3333.333333,3,,,,33.33,1,,,,,,,,33.33,1,,33.33,1,,,,,,,,,,,,,1,1,1,1,1,,,
2,Ravel,22,218,02-Jan-23,10-Mar-23,31-Jan-23,Making Big Businesses,Rahul Dua,Beauty/Fashion,Custom Hair Products,https://www.ravelcare.com/,2021,1,1,,,0,Middle,Amaravati,Maharashtra,,40,,,,,,,,75,2.5,3000,1,1,75,10,,,750,1,,,,,,,,,,75,10,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,HoneyVeda,22,219,02-Jan-23,10-Mar-23,31-Jan-23,Making Big Businesses,Rahul Dua,Food,Honey in natural nutritious form,https://www.honeyveda.in/,,2,2,,,0,Middle,Ahmedabad,Gujarat,53,,20,,,,,,,75,7.5,1000,1,1,50,20,25,12,250,2,,,,,,,25,10,12.5,25,10,12.5,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,SwadeshiBlessings,23,221,02-Jan-23,10-Mar-23,01-Feb-23,Changing The World,Rahul Dua,Furnishing/Household,Clay utensils and cookwares,https://www.swadeshiblessings.in/,2020,3,1,2,,0,Middle,Udaipur,Rajasthan,120,28,60,,,,,,,50,5,1000,1,1,25,5,25,12,500,2,,,,12.5,2.5,12.5,12.5,2.5,12.5,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,OLL,23,222,02-Jan-23,10-Mar-23,01-Feb-23,Changing The World,Rahul Dua,Technology/Software,Online Live Learning Skill development classes,https://www.oll.co/,,1,1,,,0,Young,Mumbai,Maharashtra,,,,,,,,,,30,2,1500,1,1,30,5,,,600,2,,,,,,,15,2.5,,,,,,,,15,2.5,,,,,,,,,,,,,1,1,1,1,1,,,
2,Febris,23,223,02-Jan-23,10-Mar-23,01-Feb-23,Changing The World,Rahul Dua,Medical/Health,"Scrubs, Lab Coats & Medical Apparel",https://www.febris.in/,,2,2,,,0,Middle,Ferozepur,Punjab,110,12,,20,,,,,,100,2.5,4000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,Geeani,24,224,02-Jan-23,10-Mar-23,02-Feb-23,India Ke Incredible Entrepreneurs,Rahul Dua,Vehicles/Electrical Vehicles,Smallest EV tractor,,,3,2,1,,0,Middle,Ahmedabad,Gujarat,,,,,,,,,,75,7.5,1000,1,1,100,10,,,1000,3,,,,,,,33.33,3.33,,33.33,3.33,,33.33,3.33,,,,,,,,,,,,,,,,1,1,1,1,,1,,
2,Amore,24,225,02-Jan-23,10-Mar-23,02-Feb-23,India Ke Incredible Entrepreneurs,Rahul Dua,Food,Gelato Ice Cream Online,https://www.amoregelato.com/,,2,2,,,0,Middle,"Hyderabad,Mumbai","Telangana,Maharashtra",,,,,,,,,,75,4,1875,1,1,75,7.5,,,1000,1,yes,,,,,,,,,75,7.5,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,
2,LeafyAffair,24,226,02-Jan-23,10-Mar-23,02-Feb-23,India Ke Incredible Entrepreneurs,Rahul Dua,Beauty/Fashion,Botanical Jewellery,https://leafyaffair.com/,,1,1,,,0,Middle,Bangalore,Karnataka,110,21,80,,,,,,,50,2.5,2000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,
2,ScrapUncle,25,227,02-Jan-23,10-Mar-23,03-Feb-23,Badhta India,Rahul Dua,Services,Sell scrap recyclables online,https://scrapuncle.com/,2020,1,1,,,0,Young,Delhi,Delhi,600,,25,,,,,,,60,3,2000,1,1,60,5,,,1200,1,,,,,,,,,,,,,,,,,,,60,5,,,,,,,,,,1,1,1,1,,1,,
2,SharmaJiKiAata,25,228,02-Jan-23,10-Mar-23,03-Feb-23,Badhta India,Rahul Dua,Food,Freshly milled atta,https://sharmajikaaata.com/,2019,2,1,1,,0,Middle,Pune,Maharashtra,,,63,38,,,,,,40,10,400,1,1,40,20,,,200,1,,,,,,,,,,40,20,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,
2,Manetain,25,229,02-Jan-23,10-Mar-23,03-Feb-23,Badhta India,Rahul Dua,Beauty/Fashion,Curly Hair Care Products,https://manetain.in/,,2,,2,,0,Young,"Cochin,Mumbai","Kerala,Maharashtra",100,12,60,,,,,,,75,2.5,3000,1,1,75,10,,,750,1,,,,,,,,,,,,,75,10,,,,,,,,,,,,,,,,1,1,1,1,,1,,
2,GavinParis,26,230,02-Jan-23,10-Mar-23,06-Feb-23,Bharat Badal Raha Hai,Rahul Dua,Beauty/Fashion,Gender-Neutral Fashion,https://www.gavinparis.com/,2022,2,2,,,0,Young,Kolkata,West Bengal,114,,60,,,,,,,50,5,1000,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,
2,UnStop,26,231,02-Jan-23,10-Mar-23,06-Feb-23,Bharat Badal Raha Hai,Rahul Dua,Technology/Software,Connecting talent colleges recruiters,https://unstop.com/,2022,1,1,,,0,Middle,Delhi,Delhi,1600,,90,,,,,,,100,1,10000,1,1,200,4,,,5000,4,,,,50,1,,,,,50,1,,50,1,,,,,50,1,,,,,,,,,,1,1,1,1,,1,,
2,BlueTea,26,232,02-Jan-23,10-Mar-23,06-Feb-23,Bharat Badal Raha Hai,Rahul Dua,Food,Ayurvedic Herbal Tea,https://bluetea.co.in/,2018,2,2,,,0,Middle,"Faridabad,Kolkata","Haryana,West Bengal",1000,,,19,,,,,,75,1,7500,1,1,50,3,25,12,1666.666667,1,,,,,,,,,,,,,50,3,25,,,,,,,,,,,,,,,1,1,1,1,,1,,
2,HobbyIndia,27,234,02-Jan-23,10-Mar-23,07-Feb-23,Nayi Soch Naye Vichaar,Rahul Dua,Furnishing/Household,Online Art & Craft Store,https://hobbyindia.store/,,3,1,2,,1,Young,Surat,Gujarat,117,,,,,,,,,50,3,1666.666667,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,
2,Flhexible,27,235,02-Jan-23,10-Mar-23,07-Feb-23,Nayi Soch Naye Vichaar,Rahul Dua,Furnishing/Household,Composite paper honeycomb panels,https://www.flhexible.com/,2019,2,1,1,,1,Middle,Jaipur,Rajasthan,16,3.5,40,25,,,,,,50,7.5,666.6666667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,
2,UpThrust,27,236,02-Jan-23,10-Mar-23,07-Feb-23,Nayi Soch Naye Vichaar,Rahul Dua,Sports,ESPORTS AND GAMING ORGANISATION,https://www.upthrustesports.com/,,2,2,,,0,Young,Mumbai,Maharashtra,300,33,,30,,,,,,75,3,2500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,
2,Zoff,28,237,02-Jan-23,10-Mar-23,08-Feb-23,Game Changers,Rahul Dua,Food,Cool Grind Technology Indian Spices,https://zofffoods.com/,2018,2,2,,,0,Middle,Raipur,Chhattisgarh,,700,,,,,,,,100,0.5,20000,1,1,100,1.25,,,8000,1,,,,,,,,,,,,,100,1.25,,,,,,,,,,,,,,,,1,1,1,1,,1,,
2,DesiToys,28,238,02-Jan-23,10-Mar-23,08-Feb-23,Game Changers,Rahul Dua,Manufacturing,Indian Traditional Toys and Indoor Games,https://www.desitoys.in/,2017,1,,1,,0,Middle,Mumbai,Maharashtra,115,20,50,18,,,,,,50,3,1666.666667,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,
2,CloudWorx,28,239,02-Jan-23,10-Mar-23,08-Feb-23,Game Changers,Rahul Dua,Technology/Software,NoCode Enterprise Metaverse App Builder,http://www.cloudworx.ai/,,1,1,,,0,Middle,Bangalore,Karnataka,,14,,,,,,,,40,2,2000,1,1,40,3.2,,,1250,2,yes,,,20,1.6,,,,,20,1.6,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,
2,Mahantam,29,240,02-Jan-23,10-Mar-23,09-Feb-23,Pulse Of The Country,Rahul Dua,Manufacturing,Tea Glass Washing Machine,https://mahantam.co.in/,,2,2,,,0,Young,Banaskantha,Gujarat,,,,,,,,,,30,10,300,1,1,30,20,,,150,5,,,,6,4,,6,4,,6,4,,6,4,,6,4,,,,,,,,,,,,,1,1,1,1,1,,,
2,MindPeers,29,241,02-Jan-23,10-Mar-23,09-Feb-23,Pulse Of The Country,Rahul Dua,Medical/Health,For Mental Strength,https://www.mindpeers.co/,,2,1,1,,0,Middle,Delhi,Delhi,,,,,,,,,,53,1,5300,1,1,106,2,,,5300,4,,,,17.66,0.33,,17.66,0.33,,,,,17.66,0.33,,53,1,,,,,,,,,,,,,1,1,1,1,1,,,
2,Daryaganj,30,243,02-Jan-23,10-Mar-23,10-Feb-23,Changing India,Rahul Dua,Food,North Indian Cuisine restaurant,https://daryaganj.com/,,3,3,,,0,Middle,Delhi,Delhi,,300,,,,,,,,90,0.5,18000,1,1,90,1,,,9000,1,yes,,,,,,,,,,,,90,1,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,DhruvVidyut,30,244,02-Jan-23,10-Mar-23,10-Feb-23,Changing India,Rahul Dua,Vehicles/Electrical Vehicles,Invention converts cycle into an electric cycle,https://www.instagram.com/dhruvvidyutdv/?hl=en,,1,1,,,0,Middle,Delhi,Delhi,,,,,,,,,,0,0.5,0,1,1,0,0.5,,,0,3,yes,,,,,,,,,0,0.166,,0,0.166,,0,0.166,,,,,,,,,,,,,1,1,1,1,1,,,
2,CELLBELL,30,245,02-Jan-23,10-Mar-23,10-Feb-23,Changing India,Rahul Dua,Furnishing/Household,Gaming Office Chairs,https://cellbell.in/,2019,3,3,,,0,Middle,Ulhasnagar,Maharashtra,,400,52,,,,,,,90,1.5,6000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,Tipayi,31,246,02-Jan-23,10-Mar-23,13-Feb-23,Innovations And Investments,Rahul Dua,Manufacturing,Balance Bike for Kids,https://www.vamshycle.com/,2019,1,1,,,0,Young,Pune,Maharashtra,21,0.5,35,26,,,,yes,,50,10,500,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
