Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Episode Title,Anchor,Industry,Business Description,Company Website,Started in,Number of Presenters,Male Presenters,Female Presenters,Transgender Presenters,Couple Presenters,Pitchers Average Age,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,EBITDA,Cash Burn,SKUs,Has Patents,Bootstrapped,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of Sharks in Deal,Deal Has Conditions,Royalty Deal,Advisory Shares Equity,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Ashneer Investment Amount,Ashneer Investment Equity,Ashneer Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Invested Guest Name,All Guest Names,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Amit Present,Ashneer Present,Guest Present
3,80Wash,4,333,22-Jan-24,31-Mar-24,25-Jan-24,Smart Solutions For A Smarter India,Rahul Dua,Manufacturing,Waterless washing machine,https://80wash.com/,2021,3,3,,,0,Middle,Chandigarh,Punjab,,,,,,,,yes,,100,2.5,4000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azhar Iqubal,,1,1,1,1,,,1
3,DilFoods,5,334,22-Jan-24,31-Mar-24,26-Jan-24,Innovative Ventures Vie For Sharks' Favour,Rahul Dua,Food,Virtual restaurant service,https://dilfoods.in/,2022,1,,1,,0,Middle,Ranchi,Jharkhand,700,,,,,,,,,50,0.5,10000,1,1,200,2.67,,,7490.636704,4,,,,,,,50,0.667,,,,,,,,50,0.667,,,,,,,,100,1.335,,"Ritesh Aggarwal,Radhika Gupta","Ritesh Aggarwal,Radhika Gupta",,1,,1,1,,,2
3,AIKavach/Panoplia,5,335,22-Jan-24,31-Mar-24,26-Jan-24,Innovative Ventures Vie For Sharks' Favour,Rahul Dua,Technology/Software,Online security app,https://kavach.co.in/,2023,1,,1,,0,Middle,Hyderabad,Telangana,,,,,,,,yes,,50,1.25,4000,1,1,100,2.5,,,4000,2,yes,,2.5,,,,,,,,,,50,1.25,,50,1.25,,,,,,,,,,,,"Ritesh Aggarwal,Radhika Gupta",,1,,1,1,,,2
3,Kalakaram,6,338,22-Jan-24,31-Mar-24,29-Jan-24,Nurturing The Spirit Of Entrepreneurship,Rahul Dua,Manufacturing,"Unique, creative and exciting DIY kits for all ages",https://kalakaram.com/,2022,1,1,,,0,Middle,Gurgaon,Haryana,500,50,,23,,,,,,50,2.5,2000,1,1,60,6,,,,3,,,,20,2,,,,,20,2,,,,,20,2,,,,,,,,,,,,,1,1,1,1,1,,,
3,NabhiSutra,6,339,22-Jan-24,31-Mar-24,29-Jan-24,Nurturing The Spirit Of Entrepreneurship,Rahul Dua,Beauty/Fashion,Navel Ayurvedic Oils Online,https://nabhisutra.com/,,2,1,1,,0,Middle,Vadodara,Gujarat,450,50,,8,,,,,,60,3,2000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
3,Zorko,7,340,22-Jan-24,31-Mar-24,30-Jan-24,Diverse Ventures Compete For Sharks' Attention,Rahul Dua,Food,Quick service restaurant,https://zorko.in/,2021,2,2,,,0,Young,Surat,Gujarat,3000,240,40,20,,,,,,150,1,15000,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ritesh Aggarwal,,1,1,1,1,,,1
3,Tramboo,7,341,22-Jan-24,31-Mar-24,30-Jan-24,Diverse Ventures Compete For Sharks' Attention,Rahul Dua,Sports,Kashmir willow bats,https://tramboosports.com/,2021,2,2,,,0,Young,Srinagar,Jammu & Kashmir,600,18,,25,,,,,,30,3,1000,1,1,30,4,,,750,2,,,,,,,,,,,,,15,2,,15,2,,,,,,,,,,,,Ritesh Aggarwal,,1,1,1,1,,,1
3,WeHear,7,342,22-Jan-24,31-Mar-24,30-Jan-24,Diverse Ventures Compete For Sharks' Attention,Rahul Dua,Medical/Health,Hearing Solutions,https://wehear.in/,2017,2,2,,,0,Middle,Ahmedabad,Gujarat,282,93,,,,,,yes,,250,1,25000,1,1,250,1,,,25000,1,yes,,1.5,,,,,,,,,,,,,250,1,,,,,,,,,,,,Ritesh Aggarwal,,1,1,1,1,,,1
3,Tiggle,8,343,22-Jan-24,31-Mar-24,31-Jan-24,Entrepreneurial Innovation,Rahul Dua,Food,Chocolate mixes,https://thetiggle.com/,2020,1,,1,,0,Young,Agra,Uttar Pradesh,150,12,,,,,,,,50,5,1000,1,1,50,20,,,250,2,,1,,,,,,,,,,,,,,25,10,,25,10,,,,,,,,,Azhar Iqubal,1,,1,,1,1,,1
3,PizzaGalleria,9,346,22-Jan-24,31-Mar-24,01-Feb-24,Entrepreneurial Brilliance,Rahul Dua,Food,100% Veg Pizza,https://pizzagalleria.in/,2015,2,2,,,0,Middle,Gohana,Haryana,115,,,15,,,,,,100,2,5000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deepinder Goyal,1,1,1,1,,,,1
3,AiCars,9,347,22-Jan-24,31-Mar-24,01-Feb-24,Entrepreneurial Brilliance,Rahul Dua,Vehicles/Electrical Vehicles,Hydrogen powered AI Car,https://aicars.in/,2021,1,1,,,0,Young,Yavatmal,Maharashtra,,,,,,,,,,200,4,5000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deepinder Goyal,1,1,1,1,,,,1
3,GoenchiFeni,10,349,22-Jan-24,31-Mar-24,02-Feb-24,Pitching Innovation,Rahul Dua,Liquor/Beverages,Alcohol brand,https://www.goenchi.com/homepage/,2023,2,1,1,,0,Middle,Goa,Goa,,,42,,,,,,,100,5,2000,1,1,200,15,,,1333.333333,1,,,,,,,,,,,,,,,,,,,,,,,,,200,15,,Deepinder Goyal,Deepinder Goyal,1,1,1,1,,,,1
3,Arata,10,350,22-Jan-24,31-Mar-24,02-Feb-24,Pitching Innovation,Rahul Dua,Beauty/Fashion,Hair care,https://www.arata.in/,2018,2,2,,,0,Middle,Delhi,Delhi,170,200,,5,,,,,,100,1.25,8000,1,1,100,1.33,,,7518.796992,2,yes,,0.6,50,0.665,,50,0.665,,,,,,,,,,,,,,,,,,,,,Deepinder Goyal,1,1,1,1,,,,1
3,Vecros,10,351,22-Jan-24,31-Mar-24,02-Feb-24,Pitching Innovation,Rahul Dua,Technology/Software,Spatial AI drone,https://vecros.com/,2018,2,1,1,,0,Young,Delhi,Delhi,0,9,,,,,,,,100,2.5,4000,1,1,20,1,80,10,2000,1,,,,,,,,,,,,,20,1,80,,,,,,,,,,,,,,Deepinder Goyal,1,1,1,1,,,,1
3,GudGum,11,352,22-Jan-24,31-Mar-24,05-Feb-24,Disrupting The Status Quo,Rahul Dua,Food,Healthy Chewing Gum brand,https://gudgum.in/,2022,2,2,,,0,Young,Bangalore,Karnataka,,,,,,,9,,,50,5,1000,1,1,80,10,,,800,4,,1,,,,,20,2.5,,20,2.5,,20,2.5,,,,,,,,,,,20,2.5,,Ritesh Aggarwal,Ritesh Aggarwal,1,1,1,1,,,,1
3,HoneyTwigs,12,355,22-Jan-24,31-Mar-24,06-Feb-24,Showcase Of Innovation,Rahul Dua,Food,Honey products,https://honeytwigs.co/,,3,3,,,0,Middle,Delhi,Delhi,400,35,,,,,,,,75,3,2500,1,1,75,3,,,2500,3,,,,,,,,,,25,1,,,,,25,1,,,,,,,,25,1,,Ritesh Aggarwal,Ritesh Aggarwal,,1,1,1,1,,,1
3,Koparo,12,356,22-Jan-24,31-Mar-24,06-Feb-24,Showcase Of Innovation,Rahul Dua,Food,Coconut based Cleaning Products,https://koparoclean.com/,2020,1,,1,,0,Middle,Delhi,Delhi,450,80,,,,,,,,70,1,7000,1,1,70,1,,,7000,2,,,,,,,35,0.5,,,,,35,0.5,,,,,,,,,,,,,,,Ritesh Aggarwal,,1,1,1,1,,,1
3,2Ballz,12,357,22-Jan-24,31-Mar-24,06-Feb-24,Showcase Of Innovation,Rahul Dua,Beauty/Fashion,Mens Innerwear,https://2ballz.com/,2023,3,3,,,0,Middle,Indore,Madhya Pradesh,,164,,,,,,,,30,5,600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ritesh Aggarwal,,1,1,1,1,,,1
3,JewelBox,13,358,22-Jan-24,31-Mar-24,07-Feb-24,Innovation Unleashed,Rahul Dua,Beauty/Fashion,Lab Grown Diamond Jewellery Brand,https://jewelbox.co.in/,,2,1,1,,0,Middle,Kolkata,West Bengal,520,,,,,,,,,100,2,5000,1,1,200,6,,,3333.333333,5,,,,,,,40,1.2,,,,,40,1.2,,40,1.2,,,,,,,,80,2.4,,"Ritesh Aggarwal,Radhika Gupta","Ritesh Aggarwal,Radhika Gupta",,1,,1,1,,,2
3,DaakRoom,13,359,22-Jan-24,31-Mar-24,07-Feb-24,Innovation Unleashed,Rahul Dua,Services,Letter Writing Services,https://daakroom.com/,2013,2,,2,,0,Middle,Delhi,Delhi,90,,,,,,,,,36,4,900,1,1,36,6,,,600,1,yes,,,,,,,,,,,,,,,,,,,,,,,,36,6,,Ritesh Aggarwal,"Ritesh Aggarwal,Radhika Gupta",,1,,1,1,,,2
3,Nuvedo,13,360,22-Jan-24,31-Mar-24,07-Feb-24,Innovation Unleashed,Rahul Dua,Food,Mushroom Growing Service,https://nuvedo.com/,2021,2,1,1,,1,Middle,Bangalore,Karnataka,25,,,,,,6,,,50,3,1666.666667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ritesh Aggarwal,Radhika Gupta",,1,,1,1,,,2
3,WALK,14,361,22-Jan-24,31-Mar-24,08-Feb-24,Pitch Perfect,Rahul Dua,Medical/Health,Wearable Mobility Aid,https://www.lifesparktech.com/,2018,1,1,,,0,Young,Mumbai,Maharashtra,,,,,,,,yes,,50,1.5,3333.333333,1,1,50,2.3,,,2173.913043,2,,,,,,,,,,25,1.15,,25,1.15,,,,,,,,,,,,,,,,1,1,1,1,,1,,
3,RajaRaniCoaching,14,362,22-Jan-24,31-Mar-24,08-Feb-24,Pitch Perfect,Rahul Dua,Beauty/Fashion,Clothes Tailoring Academy,https://www.rajaranicoaching.com/,2021,2,1,1,,1,Young,Surat,Gujarat,200,,,,,,,,,130,5,2600,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,
3,ALittleExtra,15,364,22-Jan-24,31-Mar-24,09-Feb-24,Shark Tank Showdown,Rahul Dua,Beauty/Fashion,Hand Made Fabric Jewellery,https://alittleextra.co.in,,1,,1,,0,Middle,Guwahati,Assam,122,,,11,,,,,,48,6,800,1,1,60,7.5,,,800,2,,,,,,,30,3.75,,30,3.75,,,,,,,,,,,,,,,,,,Ritesh Aggarwal,1,1,1,1,,,,1
3,Assembly,15,365,22-Jan-24,31-Mar-24,09-Feb-24,Shark Tank Showdown,Rahul Dua,Beauty/Fashion,Travel Bags,https://assemblytravel.com/,2018,2,2,,,0,Middle,Gurugram,Haryana,1150,,,,,,,yes,,85,1,8500,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ritesh Aggarwal,1,1,1,1,,,,1
3,NasherMiles,15,366,22-Jan-24,31-Mar-24,09-Feb-24,Shark Tank Showdown,Rahul Dua,Beauty/Fashion,Travel Bags,https://nashermiles.com/,2017,3,2,1,,1,Middle,Mumbai,Maharashtra,5700,,,,,,,,,300,0.75,40000,1,1,300,1.5,,,20000,5,,,,60,0.3,,60,0.3,,60,0.3,,60,0.3,,,,,,,,,,,60,0.3,,Ritesh Aggarwal,Ritesh Aggarwal,1,1,1,1,,,,1
3,Without,16,368,22-Jan-24,31-Mar-24,12-Feb-24,Innovation At Every Step,Rahul Dua,Beauty/Fashion,Products made from Waste Plastic,https://without.live,2020,1,1,,,0,Middle,Pune,Maharashtra,,,,,,,,yes,,75,1,7500,1,1,75,3,,,2500,2,,,,,,,,,,,,,,,,37.5,1.5,,,,,,,,37.5,1.5,,Ronnie Screwvala,"Ronnie Screwvala,Radhika Gupta",,,1,1,1,,,2
3,Kibo,16,369,22-Jan-24,31-Mar-24,12-Feb-24,Innovation At Every Step,Rahul Dua,Technology/Software,TrestleLabs Optical Character Recognition,https://www.trestlelabs.com/,2019,2,1,1,,1,Middle,"Faridabad,Ahmedabad","Haryana,Gujarat",135,,,30,,,,yes,,60,1,6000,1,1,60,6,,,1000,2,,,,,,,,,,,,,,,,30,3,,,,,,,,30,3,,Ronnie Screwvala,"Ronnie Screwvala,Radhika Gupta",,,1,1,1,,,2
3,VOLD,17,370,22-Jan-24,31-Mar-24,13-Feb-24,Innovation On Display,Rahul Dua,Liquor/Beverages,Energy Drink,https://www.voldenergy.in/,,1,1,,,0,Young,Ahmednagar,Maharashtra,,3,38,25,,,,,,50,2,2500,1,1,10,10,40,3,100,1,,,,,,,,,,,,,10,10,40,,,,,,,,,,,,,,,1,1,1,1,,1,,
3,Quirksmith,17,371,22-Jan-24,31-Mar-24,13-Feb-24,Innovation On Display,Rahul Dua,Beauty/Fashion,Jewellery,https://quirksmith.com/,2016,2,,2,,0,Middle,Agra,Uttar Pradesh,600,75,,4,,,,,,80,1,8000,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,
3,UrbanSpace,17,372,22-Jan-24,31-Mar-24,13-Feb-24,Innovation On Display,Rahul Dua,Furnishing/Household,Home Interiors,https://www.urbanspacestore.in/,,2,1,1,,1,Middle,Ahmedabad,Gujarat,2050,800,,,,,1200,,,180,1,18000,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,
3,HyperLab,18,373,22-Jan-24,31-Mar-24,14-Feb-24,Building India Through Innovation,Rahul Dua,Sports,"Sports analytics for agility, strength, reflexes, and stamina",https://www.hyperlab.life/,2023,3,3,,,0,Young,Ahmedabad,Gujarat,,,,,,,,yes,,10,1,1000,1,1,25,1,,,2500,1,,,,,,,,,,,,,25,1,,,,,,,,,,,,,,,,1,1,1,1,,1,,
3,EcoBiotraps,18,374,22-Jan-24,31-Mar-24,14-Feb-24,Building India Through Innovation,Rahul Dua,Animal/Pets,Mosquito Breeding Prevention,https://ecobiotraps.com/,2022,3,2,1,,0,Middle,"Ahmedabad,Pune","Gujarat,Maharashtra",84,8,25,4,,,,yes,,50,2,2500,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,
3,Hoora,18,375,22-Jan-24,31-Mar-24,14-Feb-24,Building India Through Innovation,Rahul Dua,Technology/Software,Auto Care App,https://hoora.in/,2019,2,2,,,0,Middle,Nagpur,Maharashtra,,31,60,,,,,yes,,80,2,4000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,
3,YesMadam,19,376,22-Jan-24,31-Mar-24,15-Feb-24,The Next Big Investment,Rahul Dua,Beauty/Fashion,Saloon service app,https://www.yesmadam.com/,2016,4,3,1,,0,Middle,Delhi,Delhi,5000,,,,,,,,,150,0.5,30000,1,1,150,2,,,7500,4,,1,,,,,37.5,0.5,,,,,37.5,0.5,,37.5,0.5,,,,,,,,37.5,0.5,,Ritesh Aggarwal,"Ritesh Aggarwal,Radhika Gupta",,1,,1,1,,,2
3,Zerodor,19,377,22-Jan-24,31-Mar-24,15-Feb-24,The Next Big Investment,Rahul Dua,Furnishing/Household,Waterless Urinal Technology,https://www.zerodor.in/,,2,2,,,0,Middle,"Ahmedabad,Mumbai","Gujarat,Maharashtra",280,,,7,,,,yes,,100,3,3333.333333,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ritesh Aggarwal,Radhika Gupta",,1,,1,1,,,2
3,PushSports,20,379,22-Jan-24,31-Mar-24,16-Feb-24,Pioneering Change,Rahul Dua,Sports,Kids & young adults for recreation & professional sport,https://pushsports.in/,2017,2,2,,,0,Middle,Delhi,Delhi,900,50,,,,,,,,80,1,8000,1,1,80,4,,,2000,2,,1,,,,,40,2,,,,,,,,40,2,,,,,,,,,,,,Azhar Iqubal,,1,1,1,1,,,1
3,CannazoIndia,20,381,22-Jan-24,31-Mar-24,16-Feb-24,Pioneering Change,Rahul Dua,Beauty/Fashion,"Medical cannabis, alternative medications",https://cannazoindia.com/,2022,3,2,1,,0,Middle,Mumbai,Maharashtra,50,18,,,,,,,,150,5,3000,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azhar Iqubal,,1,1,1,1,,,1
3,Chefling,21,382,22-Jan-24,31-Mar-24,19-Feb-24,Entrepreneurs Battle for Investment,Rahul Dua,Food,DIY Food Products,https://chefling.in/,,1,1,,,0,Young,Mumbai,Maharashtra,20,2,70,45,,,,,,40,10,400,1,1,40,16,,,250,4,,,,10,4,,,,,,,,,,,10,4,,10,4,,,,,10,4,,Azhar Iqubal,Azhar Iqubal,1,,1,,1,1,,1
3,IntenseFocus,21,383,22-Jan-24,31-Mar-24,19-Feb-24,Entrepreneurs Battle for Investment,Rahul Dua,Beauty/Fashion,Designer Eye Wear,https://intensefocus.com/,,1,1,,,0,Middle,,,825,100,60,,,,,,,500,5,10000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azhar Iqubal,1,,1,,1,1,,1
3,MilletAmma,21,384,22-Jan-24,31-Mar-24,19-Feb-24,Entrepreneurs Battle for Investment,Rahul Dua,Food,Millet based Products,https://milletamma.com/,2017,2,1,1,,1,Middle,Bangalore,Karnataka,220,33,,,,,,,,100,3,3333.333333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azhar Iqubal,1,,1,,1,1,,1
3,Refit,22,386,22-Jan-24,31-Mar-24,20-Feb-24,Impressive Numbers and High Stakes,Rahul Dua,Electronics,Refurbished Phones,https://refitglobal.com/,2017,2,2,,,0,Middle,Delhi,Delhi,18700,3500,14,,,,,,yes,200,0.5,40000,1,1,200,1,,,20000,3,,1,,,,,66.66,0.33,,66.66,0.33,,,,,,,,66.66,0.33,,,,,,,,,,1,1,1,1,,1,,
3,HouseOfBeautyIndia,22,387,22-Jan-24,31-Mar-24,20-Feb-24,Impressive Numbers and High Stakes,Rahul Dua,Beauty/Fashion,Skin care Products,https://houseofbeautyindia.com/,2021,1,,1,,0,Middle,Delhi,Delhi,,40,,,,,,,yes,150,5,3000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,
3,TheRageRoom,23,389,22-Jan-24,31-Mar-24,21-Feb-24,Celebrating Entrepreneurial Breakthroughs,Rahul Dua,Services,Anger Management activities,https://rageroom.in/,2022,1,1,,,0,Middle,Hyderabad,Telangana,,,,,,,,,,20,30,66.66666667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
3,Aastey,23,390,22-Jan-24,31-Mar-24,21-Feb-24,Celebrating Entrepreneurial Breakthroughs,Rahul Dua,Beauty/Fashion,Athleisure Wear Company,https://aastey.com/,2021,2,,2,,0,Middle,"Delhi,Mumbai","Delhi,Maharashtra",,150,,,,,,,,80,2,4000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
3,Matri,24,391,22-Jan-24,31-Mar-24,22-Feb-24,Winning Over The Sharks,Rahul Dua,Medical/Health,Period Pain Relieving Devices,https://getmatri.com/,,2,2,,,0,Middle,Kolkata,West Bengal,,,,,,,,yes,,60,4,1500,1,1,60,4,,,1500,2,,,,30,2,,,,,,,,30,2,,,,,,,,,,,,,,,Ritesh Aggarwal,1,1,1,1,,,,1
3,Rubbabu,24,392,22-Jan-24,31-Mar-24,22-Feb-24,Winning Over The Sharks,Rahul Dua,Manufacturing,Rubber Foam Toys for kids,https://rubbabu.com/,2020,3,1,2,,1,Old,Delhi,Delhi,400,52,,,,,,,,200,5,4000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ritesh Aggarwal,1,1,1,1,,,,1
3,GulaboJaipur,24,393,22-Jan-24,31-Mar-24,22-Feb-24,Winning Over The Sharks,Rahul Dua,Beauty/Fashion,Traditional Jaipur Clothing,https://www.gulabojaipur.com/,2014,2,1,1,,1,Middle,Jaipur,Rajasthan,450,72,,,15,,,,,90,1,9000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ritesh Aggarwal,1,1,1,1,,,,1
3,AristaVault,25,394,22-Jan-24,31-Mar-24,23-Feb-24,Battle Of The Innovators,Rahul Dua,Manufacturing,Follow me suitcases,https://www.aristavault.com/,2018,2,1,1,,,Middle,Delhi,Delhi,360,65,,,,,,,,45,1.5,3000,1,1,20,1,25,18,2000,1,yes,,,,,,,,,20,1,25,,,,,,,,,,,,,,,,,"Varun Dua,Radhika Gupta",,1,1,1,,,,2
3,ToHands,25,395,22-Jan-24,31-Mar-24,23-Feb-24,Battle Of The Innovators,Rahul Dua,Technology/Software,App to sync transactions with calculator,https://smart.tohands.in/,2023,3,3,,,0,Young,"Erode,Kanpur","Tamil Nadu,Uttar Pradesh",,,,,,,,,,55,1,5500,1,1,60,2,,,3000,2,,,,,,,,,,,,,,,,,,,,,,,,,60,2,,"Varun Dua,Radhika Gupta","Varun Dua,Radhika Gupta",,1,1,1,,,,2
3,PlusGold,25,396,22-Jan-24,31-Mar-24,23-Feb-24,Battle Of The Innovators,Rahul Dua,Technology/Software,Jewellery savings app that integrates digital gold investment,https://plusgold.in/,,2,2,,,0,Middle,Bangalore,Karnataka,,,,,,,,,,60,1,6000,1,1,60,1.5,,,4000,1,,,,,,,,,,,,,,,,,,,,,,,,,60,1.5,,Varun Dua,"Varun Dua,Radhika Gupta",,1,1,1,,,,2
3,Cosmix,26,398,22-Jan-24,31-Mar-24,26-Feb-24,Entrepreneurship On The Rise,Rahul Dua,Medical/Health,Herbal Super Supplements,https://cosmix.in/,2019,2,1,1,,1,Middle,,,750,,70,,11,,25,,yes,100,1,10000,1,1,100,1,,,10000,1,,1,,100,1,,,,,,,,,,,,,,,,,,,,,,,,Azhar Iqubal,1,,1,,1,1,,1
3,Fabriclore,26,399,22-Jan-24,31-Mar-24,26-Feb-24,Entrepreneurship On The Rise,Rahul Dua,Beauty/Fashion,Custom Fabric Sourcing,https://fabriclore.com/,2016,3,3,,,0,Middle,Jaipur,Rajasthan,1000,,,,,,,,funded,68.7,1,6870,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azhar Iqubal,1,,1,,1,1,,1
3,PolishMePretty,27,400,22-Jan-24,31-Mar-24,27-Feb-24,Entrepreneur's Path To Success,Rahul Dua,Beauty/Fashion,Nail Art Brand,https://www.polishmepretty.in/,2022,1,,1,,0,Young,Pune,Maharashtra,,,,,,,,,,25,25,100,1,1,25,25,,,100,1,,,,,,,,,,,,,,,,25,25,,,,,,,,,,,,,1,1,1,1,1,,,
3,GridMats,27,401,22-Jan-24,31-Mar-24,27-Feb-24,Entrepreneur's Path To Success,Rahul Dua,Manufacturing,PotHoleRaja Mats for Concrete Road making,https://www.gridmats.com/,2017,2,2,,,0,Middle,,,450,,,,,,,yes,,500,2,25000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
3,UnclePetersPanCakes,27,402,22-Jan-24,31-Mar-24,27-Feb-24,Entrepreneur's Path To Success,Rahul Dua,Food,Pancake focused QSR,https://www.unclepeterspancakes.com/,,2,2,,,0,Middle,"Kolkata,Varanasi","West Bengal,Uttar Pradesh",1400,210,,,20,,,,yes,60,2,3000,1,1,60,3,,,2000,3,,1,,20,1,,20,1,,20,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
3,CreativeHatti,28,403,22-Jan-24,31-Mar-24,28-Feb-24,Navigating The Tank With New Ideas,Rahul Dua,Services,Graphic Sticker Designing Brand,https://www.creativehatti.com/,2020,5,3,2,,1,Middle,Panchkula,Haryana,400,55,,,,,,yes,,60,2,3000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,
3,CandidMen,28,404,22-Jan-24,31-Mar-24,28-Feb-24,Navigating The Tank With New Ideas,Rahul Dua,Beauty/Fashion,Fashion Rental Platform for Men,https://candidmen.in/,2017,2,1,1,,0,Middle,Bangalore,Karnataka,210,,,,33,,,,yes,60,2,3000,1,1,60,5,,,1200,2,yes,,,,,,30,2.5,,,,,,,,,,,30,2.5,,,,,,,,,,1,1,1,1,,1,,
3,Flyrobe,28,405,22-Jan-24,31-Mar-24,28-Feb-24,Navigating The Tank With New Ideas,Rahul Dua,Beauty/Fashion,Fashion Rental Platform for Men and Women,https://flyrobe.com/home/,2020,1,,1,,0,Middle,Delhi,Delhi,290,63,,16,,,,,funded,50,1,5000,1,1,50,4,,,1250,1,,,,,,,,,,,,,50,4,,,,,,,,,,,,,,,,1,1,1,1,,1,,
3,WiseLife,29,406,22-Jan-24,31-Mar-24,29-Feb-24,Entrepreneurial Aspirations,Rahul Dua,Medical/Health,Yoga and wellness Accessories,https://wiselife.in/,2020,2,1,1,,1,Middle,Gurugram,Haryana,400,100,,3,5,,,,,60,2,3000,1,1,120,4,,,3000,4,,,,30,1,,,,,30,1,,30,1,,,,,,,,,,,30,1,,Ritesh Aggarwal,Ritesh Aggarwal,1,,1,1,,1,,1
3,Cervicheck,29,407,22-Jan-24,31-Mar-24,29-Feb-24,Entrepreneurial Aspirations,Rahul Dua,Medical/Health,Pragmatech Cervical Cancer Screening Test Kits,https://pragmatech.co.in/cervicheck/,2019,2,1,1,,1,Middle,Vadodara,Gujarat,,,,,,,,yes,funded,75,1.5,5000,1,1,75,5,,,1500,1,,,,75,5,,,,,,,,,,,,,,,,,,,,,,,,Ritesh Aggarwal,1,,1,1,,1,,1
3,Eatverse,29,408,22-Jan-24,31-Mar-24,29-Feb-24,Entrepreneurial Aspirations,Rahul Dua,Food,Multi brand Cloud Kitchen,https://eatverse.in/,2014,3,3,,,0,Middle,Kolkata,West Bengal,107,172,,,6,,8,,,100,1,10000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ritesh Aggarwal,1,,1,1,,1,,1
3,ChalteFirteMangalkaryalay,30,410,22-Jan-24,31-Mar-24,01-Mar-24,Startups Pursuing Investment,Rahul Dua,Services,Portable Wedding Hall,,2023,3,2,1,,1,Middle,Latur,Maharashtra,,,,,,,,,,200,10,2000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
3,KryzenBiotech,30,411,22-Jan-24,31-Mar-24,01-Mar-24,Startups Pursuing Investment,Rahul Dua,Agriculture,Hydrophonic Farming,https://www.kryzen.com/,2019,2,1,1,,1,Middle,Pune,Maharashtra,225,,,,,,,,,75,3,2500,1,1,75,15,,,500,1,,1,,,,,,,,,,,,,,75,15,,,,,,,,,,,,,1,1,1,1,1,,,
3,FOMO,31,412,22-Jan-24,31-Mar-24,04-Mar-24,Naye Bharat Ki Neev,Rahul Dua,Liquor/Beverages,Brew Ice Tea,https://fomobrews.com/,,2,2,,,0,Young,Bangalore,Karnataka,,3.4,50,,1.5,,,,funded,35,4,875,1,1,35,6,,,583.3333333,2,,,,,,,,,,17.5,3,,17.5,3,,,,,,,,,,,,,,,Ritesh Aggarwal,1,,1,1,,1,,1
